IE_XML_ID;IE_NAME;IP_PROP19;IP_PROP20;CV_PRICE_1;CV_CURRENCY_1
441;"Очиститель натуральной кожи ""Leather Cleaner"" (0,5 кг)";;0;350.00;RUB
442;"Наношампунь ""Nano Shampoo"" (1 кг)";;0;470.00;RUB
443;"Холодный воск ""Cherry Wax"" (1 кг)";;0;300.00;RUB
444;"Очиститель битумных пятен ""Antibitum"" (0,5 кг)";;0;330.00;RUB
445;"Кислотное средство для очистки фасадов ""Acid Cleaner"" (5,9 кг)";;0;1170.00;RUB
446;"Горячий воск ""Hot Wax"" (1 кг) ";;0;600.00;RUB
447;IPC Portotecnica YP 1400/6 ECO B пылесос ;;0;4610.00;RUB
448;IPC Portotecnica YP 1400/20 пылесос ;;0;5170.00;RUB
449;IPC Portotecnica YS 1-20 W&D VERDE пылесос;;0;6150.00;RUB
450;Пылесос IPC Portotecnica YS1/27W&D YES 215/27 HP ST C/ACC;;0;10310.00;RUB
451;Пылесос IPC Portotecnica YS 2/62W&D AMST 429HP MI C/ACC;;0;21080.00;RUB
452;Пылесос IPC Portotecnica YS3/62W&D AMST 440HP MI C/ACC;;0;23130.00;RUB
453;IPC Portotecnica VACUUM CLEANER YP 1-20 W&DTC пылесос;;0;9560.00;RUB
454;Пылесос IPC Portotecnica NRG 1/30 CLEAN P TC SL PT;;0;20730.00;RUB
455;Пылесос IPC Portotecnica ESTR. GP 1/27 EXT GAMMA 200C/ACC;;0;21730.00;RUB
456;IPC Portotecnica VACUUM CLEANER FOX пылесос;;0;5490.00;RUB
457;IPC Portotecnica PLUS 1 W 1 32 S пылесос;;0;30730.00;RUB
458;Комплект для пола Classic к SC 1 (швабра+салфетка);;0;2300.00;RUB
459;Круглая щетка со скребком;;0;790.00;RUB
460;HD 9/50-4 мойка высокого давления;;0;0.00;RUB
461;HD 9/20 Classic мойка высокого давления;;0;0.00;RUB
462;HD 9/18-4 Classic Cage мойка высокого давления;;0;0.00;RUB
463;HDS 8/18-4 C *EU-I мойка высокого давления;;0;0.00;RUB
464;CV 30/1 *EU Пылесос сухой уборки;;0;32589.00;RUB
465;CV 38/2 *EU пылесос сухой уборки;;0;35989.00;RUB
466;T 14/1 Classic ALA *EU Пылесос сухой уборки;;0;10489.00;RUB
467;T 8/1 Classic ALA *EU Пылесос сухой уборки;;0;10289.00;RUB
468;T 12/1   *EU пылесос сухой уборки;;0;0.00;RUB
469;T 15/1 *EU пылесос сухой уборки;;0;0.00;RUB
471;NT 30/1 Tact Te L *EU пылесос влажной и сухой уборки;;0;0.00;RUB
472;NT 30/1 Ap L пылесос влажной и сухой уборки;;0;0.00;RUB
473;NT 30/1 AP Te L *EU пылесос влажной и сухой уборки;;0;0.00;RUB
474;NT 40/1 AP L *EU пылесос влажной и сухой уборки ;;0;0.00;RUB
475;NT 70/2 Me Classic Edition *EU пылесос влажной и сухой уборки;;0;31889.00;RUB
476;NT 90/2 Me Classic  Edition *EU пылесос влажной и сухой уборки;;0;33189.00;RUB
478;NT 70/3 *EU пылесос влажной и сухой уборки;;0;0.00;RUB
479;BR 30/4 C Adv *EU поломоечная машина;;0;101789.00;RUB
480;BR 40/10C Adv + MF *EU поломоечная машина;;0;0.00;RUB
481;BR 35/12 C Bp Pack *EU поломоечная машина;;0;0.00;RUB
482;BD 38/12 C поломоечная машина;;0;0.00;RUB
483;BDS 43/180 C Adv уборочная машина;;0;87989.00;RUB
484;BD 30/4 C Bp Pack *EU поломоечная машина;;0;111389.00;RUB
485;Пенный комплект Premium типо KW для Karcher EASY!Lock;;0;4100.00;RUB
486;BR 45/22 C Bp Pack*EU машина поломоечная;;0;0.00;RUB
487;BD 43/25 C Bp поломоечная машина;;0;0.00;RUB
488;BD 43/35 C Ep поломоечная машина;;0;0.00;RUB
489;Пенная насадка LS3 (Premium) EASY!Lock для профессиональных АВД Керхер;;0;1720.00;RUB
490;Каналопромывочный шланг 10 метров с вращающейся форсункой;;0;3500.00;RUB
491;BD 50/50 C Bp Classic Поломоечная машина;;0;0.00;RUB
492;BD 50/60C Ep Classic поломойная машина;;0;0.00;RUB
493;Шланг высокого давления для очистки канализаций, двухоплёточный, 15 м (гайка EASY!Lock -  форсунка 1*3 с боем вперед, 045);;0;4890.00;RUB
494;Каналопромывочный шланг 15 метров с вращ. форсункой;;0;5250.00;RUB
495;KM 70/20 C подметальная машина;;0;50489.00;RUB
